,TRANSMITTALNO,ISSUEPURPOSE,RETUREDATE,ISSUEDATE,CTCIDOCNO,DOCVERSIONDESC,DOCREV,DOCCLASS,TRDESC,CLIENTDOCNO,LE,DOCDOCCLASS
0,TPC-TC(C0)-CD-22-0207,IFC,2022/04/21,2022/03/21,F0002-TSK-9024,Piping & Instrument Diagrams (P & ID) 2 for DWTS,0,C,Piping & Instrument Diagrams (P & ID) for DWTS,TC0-1-KDM02-D0024,蕭舜予  Ext.:22121 ,R
1,TPC-TC(C0)-CD-22-0207,IFC,2022/04/21,2022/03/21,F0002-TSK-9025,Piping & Instrument Diagrams (P & ID) 3 for DWTS,0,C,Piping & Instrument Diagrams (P & ID) for DWTS,TC0-1-KDM02-D0025,蕭舜予  Ext.:22121 ,R
2,TPC-TC(C0)-CD-22-0207,IFC,2022/04/21,2022/03/21,F0002-TSK-9026,Piping & Instrument Diagrams (P & ID) 4 for DWTS,0,C,Piping & Instrument Diagrams (P & ID) for DWTS,TC0-1-KDM02-D0026,蕭舜予  Ext.:22121 ,R
3,TPC-TC(C0)-CD-22-0207,IFC,2022/04/21,2022/03/21,F0002-TSK-9027,Piping & Instrument Diagrams (P & ID) 5 for DWTS,0,C,Piping & Instrument Diagrams (P & ID) for DWTS,TC0-1-KDM02-D0027,蕭舜予  Ext.:22121 ,R
4,TPC-TC(C0)-CD-22-0207,IFC,2022/04/21,2022/03/21,F0002-TSK-9028,Piping & Instrument Diagrams (P & ID) 6 for DWTS,0,C,Piping & Instrument Diagrams (P & ID) for DWTS,TC0-1-KDM02-D0028,蕭舜予  Ext.:22121 ,R
5,TPC-TC(C0)-CD-22-0207,IFC,2022/04/21,2022/03/21,F0002-TSK-9029,Piping & Instrument Diagrams (P & ID) 7 for DWTS,0,C,Piping & Instrument Diagrams (P & ID) for DWTS,TC0-1-KDM02-D0029,蕭舜予  Ext.:22121 ,R
6,TPC-TC(C0)-CD-22-0207,IFC,2022/04/21,2022/03/21,F0002-TSK-9030,Piping & Instrument Diagrams (P & ID) 8 for DWTS,0,C,Piping & Instrument Diagrams (P & ID) for DWTS,TC0-1-KDM02-D0030,蕭舜予  Ext.:22121 ,R
7,TPC-TC(C0)-CD-22-0207,IFC,2022/04/21,2022/03/21,F0002-TSK-9031,Piping & Instrument Diagrams (P & ID) 9 for DWTS,0,C,Piping & Instrument Diagrams (P & ID) for DWTS,TC0-1-KDM02-D0031,蕭舜予  Ext.:22121 ,R
8,TPC-TC(C0)-CD-22-0207,IFC,2022/04/21,2022/03/21,F0002-TSK-9033,Piping & Instrument Diagrams (P & ID) 11 for DWTS,0,C,Piping & Instrument Diagrams (P & ID) for DWTS,TC0-1-KDM02-D0033,蕭舜予  Ext.:22121 ,R
9,TPC-TC(C0)-CD-22-0207,IFC,2022/04/21,2022/03/21,F0002-TSK-9036,Piping & Instrument Diagrams (P & ID) 14 for DWTS,0,C,Piping & Instrument Diagrams (P & ID) for DWTS,TC0-1-KDM02-D0036,蕭舜予  Ext.:22121 ,R
10,TPC-TC(C0)-CD-22-0207,IFC,2022/04/21,2022/03/21,F0002-TSK-9037,Piping & Instrument Diagrams (P & ID) 15 for DWTS,0,C,Piping & Instrument Diagrams (P & ID) for DWTS,TC0-1-KDM02-D0037,蕭舜予  Ext.:22121 ,R
11,TPC-TC(C0)-CD-22-0207,IFC,2022/04/21,2022/03/21,F0002-TSK-9038,Piping & Instrument Diagrams (P & ID) 16 for DWTS,0,C,Piping & Instrument Diagrams (P & ID) for DWTS,TC0-1-KDM02-D0038,蕭舜予  Ext.:22121 ,R
12,TPC-TC(C0)-CD-22-0207,IFC,2022/04/21,2022/03/21,F0002-TSK-9039,Piping & Instrument Diagrams (P & ID) 17 for DWTS,0,C,Piping & Instrument Diagrams (P & ID) for DWTS,TC0-1-KDM02-D0039,蕭舜予  Ext.:22121 ,R
13,TPC-TC(C0)-CD-22-0207,IFC,2022/04/21,2022/03/21,F0002-TSK-9040,Piping & Instrument Diagrams (P & ID) 18 for DWTS,0,C,Piping & Instrument Diagrams (P & ID) for DWTS,TC0-1-KDM02-D0040,蕭舜予  Ext.:22121 ,R
